Product_Reporting,Visitor_ID,State_Code
Refinance,2889541804_176175633,34
unknown,7157173685170135028_5959695298333547543,47
Personal,8981369024067616571_4648399761261092922,42
Refinance,6819637185966892816_6430675211289003449,12
Personal,276091951344542112_7758024050117696253,37
Personal,1800261475_1322947750,17
Personal,2728562496397731668_4519135056662313443,48
Personal,1377569866143431413_6160297258405346537,36
Business Loans,1995594103819044174_78492760311875673,37
Refinance,3674793615802631485_4897773281863801691,36
Personal,379166663927031103_8559159539690830846,36
Personal,244039257953140145_4445347671426554554,6
Refinance,9212851439110544762_5268157934903191265,1
Personal,5071758134653118705_482864636711070900,34
Personal,5142181463213474820_7470911514338409174,1
Refinance,5200138341095712665_6306749497596295204,17
Refinance,4531881145702166705_6521185667712418825,48
Personal,8694692442035772856_2764560574351793273,53
Personal,8757353973434915186_219743699405169120,20
Auto,4165085039312209462_4731641900082351245,12
Personal,844357110_2140199949,17
Refinance,1148376796_2140199949,55
Personal,2424016869135628718_7615962306475797005,6
Refinance,1826012594_2140199949,17
unknown,1664058301_3108078097,18
Refinance,2922572568_3045849152,47
Personal,8700961318045074252_4034548376425873826,13
Refinance,6987790864626776027_6353377168662339486,21
Refinance,5150152406507667071_6584181161911472302,12
Personal,4273235028361320469_1099488863615366981,13
Personal,9014511772323774429_6817021089005351638,36
Personal,1674248326_1757275329,26
Personal,2932674406_1297668922,24
Refinance,1203986765_1259791983,6
Personal,7033478044593625799_6531599012953034120,36
Personal,2475765430133214684_3408454627878343004,32
Personal,1287235334_3358254737,48
Refinance,1428504501191535004_585872921224555934,36
Personal,1407883928055424491_3367023989504679934,40
Personal,4175822089824424547_9108100352452646596,4
Refinance,6282419848375094390_1821777856262893157,6
Personal,393455539_1199449128,26
Personal,4020899669164261501_2901822438242414919,36
Personal,1718384617542747621_3014614116811576707,18
Personal,6465803938562483483_1712582969493052254,21
Personal,6315766518136961434_7801434380303437848,48
Personal,5115024283058431694_8435428753426367942,15
Personal,1228754680_1580197113,33
